ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2021-0044,1,2021-05-25,02:00:00,2021,5,25,2,MARTES,NOCHE,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,9,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.46712311,-34.64600222
2021-0045,1,2021-05-26,17:24:00,2021,5,26,17,MIERCOLES,DIA,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,4,MULTIPLE,MOTO,MULTIPLE,-58.37709334,-34.64035082
2021-0046,1,2021-05-31,02:00:00,2021,5,31,2,LUNES,NOCHE,EL CANO AV. Y GUZMAN AV.,AVENIDA,15,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.46033141,-34.58569883
2021-0047,1,2021-06-02,16:00:00,2021,6,2,16,MIERCOLES,DIA,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4,MOTO-AUTO,MOTO,AUTO,-58.42190745,-34.65633192
2021-0048,1,2021-06-03,09:58:00,2021,6,3,9,JUEVES,DIA,CAPDEVILLA Y CONGRESO AV.,AVENIDA,12,BICICLETA-AUTO,BICICLETA,AUTO,-58.49026573,-34.5698141
2021-0049,1,2021-06-03,20:30:00,2021,6,3,20,JUEVES,NOCHE,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,8,AUTO-AUTO,AUTO,AUTO,-58.45410344,-34.66902702
2021-0050,1,2021-06-10,13:30:00,2021,6,10,13,JUEVES,DIA,DEL LIBERTADOR AV. 5958,AVENIDA,13,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.44751621,-34.55719892
2021-0051,1,2021-06-15,19:20:00,2021,6,15,19,MARTES,NOCHE,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,4,PEATON-CARGAS,PEATON,CARGAS,-58.42040352,-34.66005171
2021-0052,1,2021-06-20,05:40:00,2021,6,20,5,DOMINGO,NOCHE,"PAZ, GRAL. AV. 14723",AUTOPISTA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.49530249,-34.68010798
2021-0053,1,2021-06-20,12:00:00,2021,6,20,12,DOMINGO,DIA,CORRIENTES AV. 5783,AVENIDA,15,PEATON-BICICLETA,PEATON,BICICLETA,-58.44399875,-34.5947736
2021-0054,1,2021-06-22,14:44:00,2021,6,22,14,MARTES,DIA,TABARE Y EREZCANO,CALLE,4,MOTO-CARGAS,MOTO,CARGAS,-58.42759813,-34.65463857
2021-0055,1,2021-06-29,12:20:00,2021,6,29,12,MARTES,DIA,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,3,MOTO-CARGAS,MOTO,CARGAS,-58.40547222,-34.60456293
