,ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
279,2017-0154,1,2017-12-11,09:15:00,2017,12,11,9,LUNES,DIA,AV. ENTRE RIOS Y AV. CASEROS,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.39035581,-34.63412287,PEATON,MASCULINO,76,2017-12-11
280,2017-0155,1,2017-12-12,21:25:41,2017,12,12,21,MARTES,NOCHE,AV. RIVADAVIA 6350,AVENIDA,7,SD-MOTO,SD,MOTO,-58.45593915,-34.62656868,SD,MASCULINO,77,
281,2017-0157,1,2017-12-17,09:02:00,2017,12,17,9,DOMINGO,DIA,AV. GRAL. PAZ Y HUMAITA,AUTOPISTA,9,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.52866211,-34.64597065,CONDUCTOR,MASCULINO,53,2017-12-17
282,2017-0158,1,2017-12-18,21:30:00,2017,12,18,21,LUNES,NOCHE,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,AUTOPISTA,11,MOTO-AUTO,MOTO,AUTO,-58.52037476,-34.59407024,CONDUCTOR,MASCULINO,32,2017-12-18
283,2017-0159,1,2017-12-20,04:31:27,2017,12,20,4,MIERCOLES,NOCHE,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,-58.38896772,-34.61799615,CONDUCTOR,MASCULINO,27,2017-12-20
284,2017-0160,1,2017-12-22,13:15:00,2017,12,22,13,VIERNES,DIA,AV. NAZCA 365,AVENIDA,7,PEATON-MOTO,PEATON,MOTO,-58.47074114,-34.62771756,PEATON,FEMENINO,30,2017-12-22
285,2017-0161,1,2017-12-26,15:30:00,2017,12,26,15,MARTES,DIA,AV. EVA PERON 5249,AVENIDA,9,PEATON-AUTO,PEATON,AUTO,-58.48200819,-34.65969965,PEATON,FEMENINO,30,2017-12-26
286,2018-0001,1,2018-01-01,22:50:00,2018,1,1,22,LUNES,NOCHE,San Juan Av. Y Rincón,AVENIDA,3,PEATON-MOTO,PEATON,MOTO,-58.39536773,-34.62297346,PEATON,MASCULINO,83,2018-01-02
287,2018-0002,1,2018-01-03,16:40:00,2018,1,3,16,MIERCOLES,DIA,Peru 937,CALLE,1,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.37456088,-34.61895467,CICLISTA,FEMENINO,26,2018-01-03
288,2018-0003,1,2018-01-05,10:12:00,2018,1,5,10,VIERNES,DIA,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,15,MULTIPLE,PEATON,MULTIPLE,-58.44860217,-34.60395657,PEATON,FEMENINO,58,2018-01-05
289,2018-0004,1,2018-01-09,09:40:00,2018,1,9,9,MARTES,DIA,Del Libertador Av. y Manzanares,AVENIDA,13,MULTIPLE,MOTO,MULTIPLE,-58.46129513,-34.54332766,CONDUCTOR,MASCULINO,39,2018-01-09
290,2018-0005,1,2018-01-09,22:30:00,2018,1,9,22,MARTES,NOCHE,Paseo Colon Av. 1019,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.36907201,-34.61953517,PEATON,MASCULINO,54,2018-01-09
291,2018-0006,1,2018-01-10,21:15:00,2018,1,10,21,MIERCOLES,NOCHE,Valle y Barco Centenera Del,CALLE,6,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.44062219,-34.62499107,CICLISTA,FEMENINO,45,2018-01-10
292,2018-0007,1,2018-01-11,02:30:00,2018,1,11,2,JUEVES,NOCHE,AU Perito Moreno  KM 0.6,AUTOPISTA,9,AUTO-AUTO,AUTO,AUTO,-58.52502765,-34.63601265,CONDUCTOR,MASCULINO,46,2018-01-11
293,2018-0008,1,2018-01-12,17:50:00,2018,1,12,17,VIERNES,DIA,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS,-58.36659655,-34.61687778,CONDUCTOR,FEMENINO,32,2018-01-12
294,2018-0009,1,2018-01-14,02:00:00,2018,1,14,2,DOMINGO,NOCHE,"Pilcomayo y Brown, Alte. Av.",AVENIDA,4,MOTO-MOTO,MOTO,MOTO,-58.36737389,-34.62763661,CONDUCTOR,MASCULINO,19,2018-01-14
295,2018-0010,1,2018-01-18,05:10:00,2018,1,18,5,JUEVES,NOCHE,"Cervantes y Belaustegui, Luis, Dr.",CALLE,10,MOTO-CARGAS,MOTO,CARGAS,-58.49807953,-34.63038658,CONDUCTOR,MASCULINO,40,2018-01-18
296,2018-0011,1,2018-01-19,10:30:00,2018,1,19,10,VIERNES,DIA,Callao y Vte. Lopez,AVENIDA,2,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.39092703,-34.59088447,PEATON,MASCULINO,84,2018-01-19
297,2018-0012,1,2018-01-26,13:30:00,2018,1,26,13,VIERNES,DIA,"Oliden y Chilavert, Martiniano, Coronel",CALLE,8,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.46912006,-34.68049201,CONDUCTOR,MASCULINO,20,2018-01-26
